,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,동_eclo,주야간_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
60,팔달구,인계동,주간,건조,눈,52.0,2.0,5.0,2.0,61.0,113.24594056288971,4.650943396226415,4.476795931341386,4.444769140853302,3.5714285714285716,78.14393703984966,280.16935131358
61,권선구,권선동,주간,기타,비,53.0,2.0,2.0,4.0,61.0,114.1482213190406,4.657407407407407,4.476795931341386,4.666666666666667,4.798319327731092,79.59918933314655,284.32279509953304
62,장안구,정자동,주간,서리/결빙,눈,54.0,2.0,3.0,2.0,61.0,115.05050207519145,4.458715596330276,4.476795931341386,4.875,3.5714285714285716,78.38194009910023,271.4920912073748
63,장안구,정자동,야간,서리/결빙,흐림,54.0,1.0,3.0,3.0,61.0,115.10818099934934,4.458715596330276,4.488599348534202,4.875,4.421875,79.24418994486449,273.1498665503691
64,장안구,영화동,야간,건조,비,51.0,1.0,5.0,4.0,61.0,112.40133873089674,4.2254901960784315,4.488599348534202,4.444769140853302,4.798319327731092,78.95717801319702,261.4057223637251
65,장안구,정자동,야간,건조,기타,54.0,1.0,5.0,1.0,61.0,115.10818099934936,4.458715596330276,4.488599348534202,4.444769140853302,4.833333333333333,79.22541741905111,272.3164205879689
66,팔달구,우만동,주간,젖음/습기,맑음,50.0,2.0,4.0,5.0,61.0,111.44137905058795,4.239130434782608,4.476795931341386,4.841059602649007,4.460807600950119,79.01779356972312,262.5783900171598
67,장안구,정자동,주간,젖음/습기,기타,54.0,2.0,4.0,1.0,61.0,115.05050207519146,4.458715596330276,4.476795931341386,4.841059602649007,4.833333333333333,79.609904463654,273.921805808447
68,권선구,권선동,주간,적설,맑음,53.0,2.0,1.0,5.0,61.0,114.1482213190406,4.657407407407407,4.476795931341386,4.25,4.460807600950119,78.84501093969891,282.350222460026
69,장안구,영화동,주간,젖음/습기,비,51.0,2.0,4.0,4.0,61.0,112.34365980673884,4.2254901960784315,4.476795931341386,4.841059602649007,4.798319327731092,79.34166505779991,263.01110758420316
70,팔달구,인계동,주간,서리/결빙,비,52.0,2.0,3.0,4.0,61.0,113.2459405628897,4.650943396226415,4.476795931341386,4.875,4.798319327731092,79.80105865529889,284.62092577738076
71,권선구,권선동,야간,서리/결빙,비,53.0,1.0,3.0,4.0,61.0,114.20590024319849,4.657407407407407,4.488599348534202,4.875,4.798319327731092,79.8193260836727,285.1494692520512
72,팔달구,인계동,야간,젖음/습기,비,52.0,1.0,4.0,4.0,61.0,113.3036194870476,4.650943396226415,4.488599348534202,4.841059602649007,4.798319327731092,79.77892167514072,284.8951716738282
73,장안구,정자동,야간,적설,맑음,54.0,1.0,1.0,5.0,61.0,115.10818099934934,4.458715596330276,4.488599348534202,4.25,4.460807600950119,78.6581225458146,271.81327955511966
74,장안구,정자동,주간,적설,비,54.0,2.0,1.0,4.0,61.0,115.05050207519145,4.458715596330276,4.476795931341386,4.25,4.798319327731092,78.98383085540276,273.167511375442
75,팔달구,우만동,야간,건조,맑음,50.0,1.0,5.0,5.0,61.0,111.49905797474588,4.239130434782608,4.488599348534202,4.444769140853302,4.460807600950119,78.63330652512023,260.9730047966817
76,팔달구,인계동,야간,서리/결빙,맑음,52.0,1.0,3.0,5.0,61.0,113.3036194870476,4.650943396226415,4.488599348534202,4.875,4.460807600950119,79.47535034571074,283.26669395705835
77,팔달구,인계동,야간,건조,흐림,52.0,1.0,5.0,3.0,61.0,113.3036194870476,4.650943396226415,4.488599348534202,4.444769140853302,4.421875,79.00618688561391,281.8271266565743
78,장안구,영화동,야간,젖음/습기,맑음,51.0,1.0,4.0,5.0,61.0,112.40133873089674,4.2254901960784315,4.488599348534202,4.841059602649007,4.460807600950119,79.01595674821176,261.6568757638808
79,권선구,권선동,야간,젖음/습기,흐림,53.0,1.0,4.0,3.0,61.0,114.20590024319849,4.657407407407407,4.488599348534202,4.841059602649007,4.421875,79.40894135859062,283.9610553517228
80,권선구,권선동,주간,건조,기타,53.0,2.0,5.0,1.0,61.0,114.1482213190406,4.657407407407407,4.476795931341386,4.444769140853302,4.833333333333333,79.41230581293541,282.8533634928752
81,장안구,영화동,주간,건조,흐림,51.0,2.0,5.0,3.0,61.0,112.34365980673886,4.2254901960784315,4.476795931341386,4.444769140853302,4.421875,78.5689302682731,259.94306256694927
82,권선구,세류동,주간,건조,맑음,49.0,2.0,5.0,5.0,61.0,110.53909829443712,4.954022988505747,4.476795931341386,4.444769140853302,4.460807600950119,79.33639566165054,296.2286020084815
83,권선구,권선동,주간,서리/결빙,흐림,53.0,2.0,3.0,3.0,61.0,114.1482213190406,4.657407407407407,4.476795931341386,4.875,4.421875,79.43107833874879,283.68680945527535
84,장안구,영화동,주간,서리/결빙,맑음,51.0,2.0,3.0,5.0,61.0,112.34365980673884,4.2254901960784315,4.476795931341386,4.875,4.460807600950119,79.03809372836993,261.38262986743337
85,장안구,정자동,주간,기타,흐림,54.0,2.0,2.0,3.0,61.0,115.05050207519146,4.458715596330276,4.476795931341386,4.666666666666667,4.421875,79.02405319433834,272.32319239785096
86,권선구,권선동,주간,젖음/습기,눈,53.0,2.0,4.0,2.0,61.0,114.1482213190406,4.657407407407407,4.476795931341386,4.841059602649007,3.5714285714285716,78.54669151282637,282.30328000872856
87,장안구,정자동,야간,젖음/습기,눈,54.0,1.0,4.0,2.0,61.0,115.10818099934934,4.458715596330276,4.488599348534202,4.841059602649007,3.5714285714285716,78.35980311894207,271.76633710382225
88,권선구,권선동,야간,기타,맑음,53.0,1.0,2.0,5.0,61.0,114.20590024319849,4.657407407407407,4.488599348534202,4.666666666666667,4.460807600950119,79.2734810235584,282.9685632792107
89,팔달구,인계동,주간,적설,맑음,52.0,2.0,1.0,5.0,60.0,112.15671598762152,4.650943396226415,4.476795931341386,4.25,4.460807600950119,77.83854692851791,277.35668647120696
90,장안구,영화동,주간,서리/결빙,비,51.0,2.0,3.0,4.0,60.0,111.25443523147064,4.2254901960784315,4.476795931341386,4.875,4.798319327731092,78.3756054551509,258.2718691736071
91,장안구,영화동,주간,건조,눈,51.0,2.0,5.0,2.0,60.0,111.25443523147064,4.2254901960784315,4.476795931341386,4.444769140853302,3.5714285714285716,76.71848383970168,253.82029470980643
92,장안구,영화동,주간,기타,맑음,51.0,2.0,2.0,5.0,60.0,111.25443523147064,4.2254901960784315,4.476795931341386,4.666666666666667,4.460807600950119,77.8297603950366,256.09096320076674
93,팔달구,인계동,주간,젖음/습기,눈,52.0,2.0,4.0,2.0,60.0,112.15671598762152,4.650943396226415,4.476795931341386,4.841059602649007,3.5714285714285716,77.54022750164538,277.30974401990954
94,장안구,정자동,주간,서리/결빙,기타,54.0,2.0,3.0,1.0,60.0,113.96127749992326,4.458715596330276,4.476795931341386,4.875,4.833333333333333,78.643844861005,269.18256739785096
95,팔달구,인계동,야간,기타,맑음,52.0,1.0,2.0,5.0,60.0,112.2143949117794,4.650943396226415,4.488599348534202,4.666666666666667,4.460807600950119,78.26701701237741,277.9750272903917
96,장안구,영화동,주간,젖음/습기,흐림,51.0,2.0,4.0,3.0,60.0,111.25443523147064,4.2254901960784315,4.476795931341386,4.841059602649007,4.421875,77.96522073006882,257.0834552732788
97,장안구,정자동,야간,서리/결빙,눈,54.0,1.0,3.0,2.0,60.0,114.01895642408114,4.458715596330276,4.488599348534202,4.875,3.5714285714285716,77.39374351629306,267.02709869322626
98,팔달구,화서동,주간,건조,맑음,48.0,2.0,5.0,5.0,60.0,108.54759296301803,4.282051282051282,4.476795931341386,4.444769140853302,4.460807600950119,77.66442395519609,259.01993711016144
99,장안구,영화동,야간,서리/결빙,맑음,51.0,1.0,3.0,5.0,60.0,111.31211415562854,4.2254901960784315,4.488599348534202,4.875,4.460807600950119,78.04989714556275,256.9176373532848
100,장안구,영화동,야간,건조,흐림,51.0,1.0,5.0,3.0,60.0,111.31211415562856,4.2254901960784315,4.488599348534202,4.444769140853302,4.421875,77.58073368546593,255.47807005280072
101,팔달구,인계동,야간,서리/결빙,비,52.0,1.0,3.0,4.0,60.0,112.2143949117794,4.650943396226415,4.488599348534202,4.875,4.798319327731092,78.81286207249171,280.15593326323216
102,팔달구,인계동,야간,건조,눈,52.0,1.0,5.0,2.0,60.0,112.2143949117794,4.650943396226415,4.488599348534202,4.444769140853302,3.5714285714285716,77.15574045704248,275.7043587994315
103,장안구,정자동,야간,기타,흐림,54.0,1.0,2.0,3.0,60.0,114.01895642408115,4.458715596330276,4.488599348534202,4.666666666666667,4.421875,78.03585661153116,267.8581998837024
104,장안구,정자동,야간,젖음/습기,기타,54.0,1.0,4.0,1.0,60.0,114.01895642408115,4.458715596330276,4.488599348534202,4.841059602649007,4.833333333333333,78.62170788084683,269.4568132942984
105,장안구,정자동,주간,적설,흐림,54.0,2.0,1.0,3.0,60.0,113.96127749992326,4.458715596330276,4.476795931341386,4.25,4.421875,77.60738652767166,267.23985906451765
106,권선구,세류동,야간,건조,맑음,49.0,1.0,5.0,5.0,60.0,109.5075526433268,4.954022988505747,4.488599348534202,4.444769140853302,4.460807600950119,78.34819907884336,291.76360949433285
107,팔달구,우만동,야간,젖음/습기,맑음,50.0,1.0,4.0,5.0,60.0,110.40983339947766,4.239130434782608,4.488599348534202,4.841059602649007,4.460807600950119,78.02959698691595,258.11339750301124
108,장안구,정자동,주간,기타,눈,54.0,2.0,2.0,2.0,60.0,113.96127749992326,4.458715596330276,4.476795931341386,4.666666666666667,3.5714285714285716,77.1736067657669,266.2004245407081
109,팔달구,인계동,야간,젖음/습기,흐림,52.0,1.0,4.0,3.0,60.0,112.2143949117794,4.650943396226415,4.488599348534202,4.841059602649007,4.421875,78.40247734740963,278.96751936290383
110,팔달구,인계동,주간,기타,비,52.0,2.0,2.0,4.0,60.0,112.15671598762152,4.650943396226415,4.476795931341386,4.666666666666667,4.798319327731092,78.59272532196556,279.3292591107141
111,팔달구,인계동,주간,서리/결빙,흐림,52.0,2.0,3.0,3.0,60.0,112.15671598762152,4.650943396226415,4.476795931341386,4.875,4.421875,78.4246143275678,278.6932734664564
112,권선구,권선동,주간,서리/결빙,눈,53.0,2.0,3.0,2.0,60.0,113.05899674377238,4.657407407407407,4.476795931341386,4.875,3.5714285714285716,77.58063191017736,277.5640415981325
113,권선구,권선동,주간,기타,흐림,53.0,2.0,2.0,3.0,60.0,113.0589967437724,4.657407407407407,4.476795931341386,4.666666666666667,4.421875,78.22274500541546,278.39514278860867
114,권선구,권선동,주간,적설,비,53.0,2.0,1.0,4.0,60.0,113.05899674377238,4.657407407407407,4.476795931341386,4.25,4.798319327731092,78.18252266647988,279.2394617661997
115,권선구,권선동,야간,서리/결빙,흐림,53.0,1.0,3.0,3.0,60.0,113.11667566793028,4.657407407407407,4.488599348534202,4.875,4.421875,78.44288175594161,279.2218169411268
116,권선구,권선동,주간,젖음/습기,기타,53.0,2.0,4.0,1.0,60.0,113.0589967437724,4.657407407407407,4.476795931341386,4.841059602649007,4.833333333333333,78.80859627473113,279.9937561992047
117,권선구,권선동,야간,건조,기타,53.0,1.0,5.0,1.0,60.0,113.1166756679303,4.657407407407407,4.488599348534202,4.444769140853302,4.833333333333333,78.42410923012824,278.3883709787266
118,장안구,영화동,야간,젖음/습기,비,51.0,1.0,4.0,4.0,60.0,111.31211415562854,4.2254901960784315,4.488599348534202,4.841059602649007,4.798319327731092,78.35346847499274,258.54611507005455
119,팔달구,우만동,주간,젖음/습기,비,50.0,2.0,4.0,4.0,60.0,110.35215447531976,4.239130434782608,4.476795931341386,4.841059602649007,4.798319327731092,78.3553052965041,259.46762932333354
120,권선구,세류동,주간,젖음/습기,맑음,49.0,2.0,4.0,5.0,60.0,109.4498737191689,4.954022988505747,4.476795931341386,4.841059602649007,4.460807600950119,78.73268612344626,293.36899471481104
121,팔달구,우만동,야간,건조,비,50.0,1.0,5.0,4.0,60.0,110.40983339947766,4.239130434782608,4.488599348534202,4.444769140853302,4.798319327731092,77.9708182519012,257.86224410285547
122,팔달구,우만동,주간,건조,흐림,50.0,2.0,5.0,3.0,60.0,110.35215447531978,4.239130434782608,4.476795931341386,4.444769140853302,4.421875,77.58257050697729,256.3995843060797
123,권선구,세류동,주간,건조,비,49.0,2.0,5.0,4.0,60.0,109.4498737191689,4.954022988505747,4.476795931341386,4.444769140853302,4.798319327731092,78.67390738843152,293.11784131465527
124,권선구,권선동,야간,젖음/습기,눈,53.0,1.0,4.0,2.0,60.0,113.11667566793028,4.657407407407407,4.488599348534202,4.841059602649007,3.5714285714285716,77.5584949300192,277.83828749457996
125,권선구,권선동,야간,적설,맑음,53.0,1.0,1.0,5.0,60.0,113.11667566793028,4.657407407407407,4.488599348534202,4.25,4.460807600950119,77.85681435689173,277.88522994587737
126,장안구,정자동,야간,적설,비,54.0,1.0,1.0,4.0,60.0,114.01895642408114,4.458715596330276,4.488599348534202,4.25,4.798319327731092,77.99563427259558,268.7025188612934
127,팔달구,인계동,주간,건조,기타,52.0,2.0,5.0,1.0,60.0,112.15671598762152,4.650943396226415,4.476795931341386,4.444769140853302,4.833333333333333,78.40584180175442,277.85982750405617
128,권선구,권선동,야간,기타,비,53.0,1.0,2.0,4.0,60.0,113.11667566793028,4.657407407407407,4.488599348534202,4.666666666666667,4.798319327731092,78.61099275033938,279.8578025853845
129,팔달구,우만동,주간,서리/결빙,맑음,50.0,2.0,3.0,5.0,60.0,110.35215447531976,4.239130434782608,4.476795931341386,4.875,4.460807600950119,78.05173396707411,257.83915160656375
130,장안구,영화동,주간,건조,기타,51.0,2.0,5.0,1.0,59.0,110.16521065620246,4.2254901960784315,4.476795931341386,4.444769140853302,4.833333333333333,76.98038860160645,251.51077090028264
131,권선구,세류동,야간,건조,비,49.0,1.0,5.0,4.0,59.0,108.4183280680586,4.954022988505747,4.488599348534202,4.444769140853302,4.798319327731092,77.68571080562434,288.65284880050666
132,팔달구,우만동,주간,건조,눈,50.0,2.0,5.0,2.0,59.0,109.26292990005156,4.239130434782608,4.476795931341386,4.444769140853302,3.5714285714285716,75.73212407840586,250.27681644893684
133,권선구,권선동,야간,기타,흐림,53.0,1.0,2.0,3.0,59.0,112.02745109266208,4.657407407407407,4.488599348534202,4.666666666666667,4.421875,77.23454842260828,273.9301502744601
134,장안구,영화동,주간,서리/결빙,흐림,51.0,2.0,3.0,3.0,59.0,110.16521065620243,4.2254901960784315,4.476795931341386,4.875,4.421875,76.99916112741982,252.34421686268277
135,권선구,세류동,야간,젖음/습기,맑음,49.0,1.0,4.0,5.0,59.0,108.4183280680586,4.954022988505747,4.488599348534202,4.841059602649007,4.460807600950119,77.74448954063908,288.9040022006624
136,권선구,권선동,주간,적설,흐림,53.0,2.0,1.0,3.0,59.0,111.9697721685042,4.657407407407407,4.476795931341386,4.25,4.421875,76.80607833874879,273.31180945527535
137,권선구,세류동,주간,건조,흐림,49.0,2.0,5.0,3.0,59.0,108.36064914390072,4.954022988505747,4.476795931341386,4.444769140853302,4.421875,77.29746306070044,287.1901890037309
138,팔달구,우만동,야간,젖음/습기,비,50.0,1.0,4.0,4.0,59.0,109.32060882420946,4.239130434782608,4.488599348534202,4.841059602649007,4.798319327731092,77.36710871369692,255.002636809185
139,장안구,영화동,야간,서리/결빙,비,51.0,1.0,3.0,4.0,59.0,110.22288958036032,4.2254901960784315,4.488599348534202,4.875,4.798319327731092,77.38740887234373,253.80687665945857
140,팔달구,인계동,야간,기타,비,52.0,1.0,2.0,4.0,59.0,111.1251703365112,4.650943396226415,4.488599348534202,4.666666666666667,4.798319327731092,77.60452873915838,274.86426659656547
141,장안구,정자동,주간,적설,눈,54.0,2.0,1.0,2.0,59.0,112.87205292465504,4.458715596330276,4.476795931341386,4.25,3.5714285714285716,75.75694009910023,261.1170912073748
142,팔달구,인계동,야간,적설,맑음,52.0,1.0,1.0,5.0,59.0,111.1251703365112,4.650943396226415,4.488599348534202,4.25,4.460807600950119,76.85035034571074,272.89169395705835
